contigname	ERR011349_ERR011349
k79_9391	10.4791
k79_27705	3.95497
k79_9392	7.5
k79_32332	10.4303
k79_27706	1.87151
k79_9393	4.568
k79_27707	9.0
k79_32333	5.61493
k79_27708	3.40426
k79_32334	4.51724
k79_9394	7.66957
k79_27709	3.83019
k79_32335	5.3653
k79_27710	6.93893
k79_32336	13.1092
k79_32337	4.94681
k79_27711	7.53738
k79_9395	5.1121
k79_32338	4.60606
k79_27712	3.79381
k79_9396	6.56853
k79_32339	4.01119
k79_32340	13.29
k79_27713	17.0612
k79_9397	7.70497
k79_9398	2.53793
k79_27714	5.93664
k79_9399	10.9424
k79_27715	5.13793
k79_9400	8.90079
k79_4751	13.4874
k79_27716	11.9249
k79_9401	4.86878
k79_4752	8.27811
k79_9402	5.50282
k79_32341	5.13894
k79_4753	2.98684
k79_9403	5.832
k79_32342	4.42478
k79_4754	10.8039
k79_32343	4.60638
k79_9404	4.69583
k79_32344	8.72566
k79_9405	5.0473
k79_4755	10.0268
k79_32345	6.75
k79_9406	3.30539
k79_9407	4.25962
k79_32346	6.45794
k79_173	6.1567
k79_9408	4.69853
k79_4756	8.78973
k79_4757	7.93805
k79_174	5.70824
k79_9409	6.97598
k79_32347	5.83987
k79_4758	4.49474
k79_23084	42.0801
k79_175	9.0
k79_32348	3.76296
k79_4759	3.88837
k79_18517	42.086
k79_32349	4.33333
k79_4760	31.8011
k79_18518	7.99713
k79_4761	3.61674
k79_9410	8.16631
k79_32350	5.30369
k79_18519	7.65611
k79_32351	4.30851
k79_176	8.74194
k79_4762	5.88889
k79_23085	6.00291
k79_4763	3.16854
k79_177	3.55479
k79_32352	6.01049
k79_23086	5.01802
k79_9411	5.05263
k79_32353	8.36957
k79_178	4.89076
k79_32354	5.13483
k79_4764	6.82468
k79_32355	6.35583
k79_23087	6.40775
k79_4765	6.53023
k79_179	4.59028
k79_18520	12.3132
k79_32356	6.23673
k79_18521	4.33663
k79_32357	6.85938
k79_18522	10.7285
k79_18523	17.24
k79_180	5.61421
k79_18524	3.97143
k79_181	4.97143
k79_23088	5.7821
k79_182	4.99237
k79_18525	7.17742
k79_183	5.80412
k79_13878	39.9816
k79_9412	3.77941
k79_184	17.4239
k79_4766	8.95504
k79_13879	2.21512
k79_185	4.86397
k79_4767	10.9709
k79_13880	7.18518
k79_9413	4.40441
k79_186	11.45
k79_4768	3.8189
k79_13881	4.79021
k79_4769	7.33083
k79_13882	5.45833
k79_9414	6.55773
k79_18526	6.65289
k79_9415	8.295
k79_18527	6.82569
k79_9416	5.03175
k79_9417	5.9434
k79_18528	4.5
k79_18529	4.74096
k79_9418	6.74219
k79_18530	8.1129
k79_9419	5.59218
k79_13883	9.15339
k79_9420	9.66962
k79_18531	6.44036
k79_18532	3.25301
k79_9421	5.18975
k79_18533	5.81073
k79_18534	13.9766
k79_9422	7.53024
k79_18535	4.1982
k79_9423	9.78182
k79_9424	4.09375
k79_18536	7.33879
k79_9425	4.93711
k79_18537	3.72794
k79_18538	5.50649
k79_4770	8.41759
k79_9426	7.12538
k79_4771	8.98643
k79_9427	5.87189
k79_18539	7.47975
k79_4772	4.84434
k79_9428	7.93564
k79_4773	3.29508
k79_18540	4.24363
k79_9429	3.71233
k79_13884	44.0983
k79_9430	4.29104
k79_4774	3.92486
k79_13885	7.23188
k79_9431	5.26866
k79_4775	5.7094
k79_13886	6.23744
k79_4776	3.45455
k79_9432	2.76364
k79_32358	5.28493
k79_187	12.8131
k79_27717	4.77083
k79_13887	6.68696
k79_32359	3.61458
k79_9433	2.82906
k79_27718	3.17647
k79_32360	1.52174
k79_9434	4.94737
k79_9435	6.64035
k79_188	10.3362
k79_13888	8.20062
k79_9436	5.60714
k79_32361	6.14578
k79_189	6.46429
