Contig	ERR011348_assembly.fa/ERR011348_corrected_1.fastq.gz Mean	ERR011348_assembly.fa/ERR011348_corrected_1.fastq.gz RPKM	ERR011348_assembly.fa/ERR011348_corrected_1.fastq.gz Covered Fraction
k79_12121	6.256098	8.64375	1
k79_84466	4.2978725	5.342121	1
k79_80	5.9607844	8.355625	1
k79_60320	5.0939226	5.452613	1
k79_84467	2.2083333	3.260732	1
k79_24165	3.02	4.7627063	1
k79_81	6.4765625	6.49214	1
k79_60321	4.795699	4.5388584	1
k79_84468	3.9247313	4.5388584	1
k79_24166	5.6262627	6.845572	1
k79_24167	6.3274336	6.862415	1
k79_60322	4.361979	5.8207726	1
k79_60323	2.4230769	3.1580315	1
k79_82	3.5398602	4.752564	1
k79_36233	5.0113206	6.7977967	1
k79_24168	7.1213174	9.378529	1
k79_60324	4.439834	5.1287727	1
k79_84469	6.354018	8.053259	1
k79_84470	9.211111	7.9378448	1
k79_84471	7.319672	7.741241	1
k79_36234	5.7880435	7.5700536	1
k79_60325	5.515284	6.948047	1
k79_12122	10.958494	14.259465	1
k79_84472	3.2677166	3.9709902	1
k79_84473	5.8541665	6.9290547	1
k79_12123	5.264463	7.029825	1
k79_48307	8.855966	11.633388	1
k79_84474	6.624	6.1983547	1
k79_60326	5.324597	6.984578	1
k79_48308	5.448276	6.189352	1
k79_48309	3.26	4.0107	1
k79_60327	5.6806083	7.267911	1
k79_12124	19.869003	24.45747	1
k79_36235	7.448511	9.787747	1
k79_12125	8.564357	7.190498	1
k79_36236	3.7522936	3.8713324	1
k79_60328	4.7890368	5.866716	1
k79_72343	16.025127	21.427069	0.99877757
k79_24169	6.3071036	8.901122	1
k79_12126	3.1464286	4.4304247	1
k79_48310	8.183788	10.270955	1
k79_72344	17.442923	23.640305	1
k79_48311	4.458647	5.668834	1
k79_24170	7.4756637	9.993439	1
k79_72345	2.8584476	4.61937	1
k79_36237	4.132875	5.2927127	1
k79_24171	7.4174757	8.322599	1
k79_60329	5.320377	6.523912	1
k79_24172	4.7604165	5.7062807	1
k79_12127	11.008284	13.301819	1
k79_84476	7.380993	9.5988035	1
k79_12128	2.0693069	3.195777	1
k79_84477	3.6444445	3.34225	1
k79_36238	3.7888308	5.131255	1
